operationId,operationDate,operationType,note,totalAmtAccepted,propositions
RP 090925 2,2025-09-09,Reverse Repo,,22915000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3055000000}, {'counterpartyType': 'mmf', 'amtAccepted': 19860000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 090825 2,2025-09-08,Reverse Repo,,19416000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 2675000000}, {'counterpartyType': 'mmf', 'amtAccepted': 16740000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 090525 2,2025-09-05,Reverse Repo,,20997000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2675000000}, {'counterpartyType': 'mmf', 'amtAccepted': 18322000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 090425 2,2025-09-04,Reverse Repo,,20128000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3340000000}, {'counterpartyType': 'mmf', 'amtAccepted': 16788000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 090325 2,2025-09-03,Reverse Repo,,17923000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3525000000}, {'counterpartyType': 'mmf', 'amtAccepted': 14398000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 090225 2,2025-09-02,Reverse Repo,,21066000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3490000000}, {'counterpartyType': 'mmf', 'amtAccepted': 17576000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082925 2,2025-08-29,Reverse Repo,,77898000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 22925000000}, {'counterpartyType': 'mmf', 'amtAccepted': 54973000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082825 2,2025-08-28,Reverse Repo,,31966000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2525000000}, {'counterpartyType': 'mmf', 'amtAccepted': 29440000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 082725 2,2025-08-27,Reverse Repo,,34744000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2550000000}, {'counterpartyType': 'mmf', 'amtAccepted': 32194000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082625 2,2025-08-26,Reverse Repo,,28574000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3035000000}, {'counterpartyType': 'mmf', 'amtAccepted': 25539000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082525 2,2025-08-25,Reverse Repo,,47567000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2900000000}, {'counterpartyType': 'mmf', 'amtAccepted': 44667000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082225 2,2025-08-22,Reverse Repo,,36275000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3025000000}, {'counterpartyType': 'mmf', 'amtAccepted': 33250000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082125 3,2025-08-21,Reverse Repo,,25358000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3250000000}, {'counterpartyType': 'mmf', 'amtAccepted': 22108000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 082025 2,2025-08-20,Reverse Repo,,34999000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3675000000}, {'counterpartyType': 'mmf', 'amtAccepted': 31323000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 081925 2,2025-08-19,Reverse Repo,,22344000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3625000000}, {'counterpartyType': 'mmf', 'amtAccepted': 18719000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 081825 2,2025-08-18,Reverse Repo,,38240000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3075000000}, {'counterpartyType': 'mmf', 'amtAccepted': 35165000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
